Zeit [min]	Azimut [Deg]	H̦he [Deg]	Variante 1 Sonnenlichtfaktor [-]	Variante 2 Sonnenlichtfaktor [-]	Variante 3 Sonnenlichtfaktor [-]	Variante 4 Sonnenlichtfaktor [-]	Variante 5 Sonnenlichtfaktor [-]	Variante 6 Sonnenlichtfaktor [-]
213120	0	0	0	0	0	0	0	0
213130	0	0	0	0	0	0	0	0
213140	0	0	0	0	0	0	0	0
213150	0	0	0	0	0	0	0	0
213160	0	0	0	0	0	0	0	0
213170	0	0	0	0	0	0	0	0
213180	0	0	0	0	0	0	0	0
213190	0	0	0	0	0	0	0	0
213200	0	0	0	0	0	0	0	0
213210	0	0	0	0	0	0	0	0
213220	0	0	0	0	0	0	0	0
213230	0	0	0	0	0	0	0	0
213240	0	0	0	0	0	0	0	0
213250	0	0	0	0	0	0	0	0
213260	0	0	0	0	0	0	0	0
213270	0	0	0	0	0	0	0	0
213280	0	0	0	0	0	0	0	0
213290	0	0	0	0	0	0	0	0
213300	0	0	0	0	0	0	0	0
213310	0	0	0	0	0	0	0	0
213320	0	0	0	0	0	0	0	0
213330	0	0	0	0	0	0	0	0
213340	0	0	0	0	0	0	0	0
213350	0	0	0	0	0	0	0	0
213360	0	0	0	0	0	0	0	0
213370	0	0	0	0	0	0	0	0
213380	0	0	0	0	0	0	0	0
213390	0	0	0	0	0	0	0	0
213400	0	0	0	0	0	0	0	0
213410	0	0	0	0	0	0	0	0
213420	0	0	0	0	0	0	0	0
213430	0	0	0	0	0	0	0	0
213440	0	0	0	0	0	0	0	0
213450	0	0	0	0	0	0	0	0
213460	0	0	0	0	0	0	0	0
213470	0	0	0	0	0	0	0	0
213480	0	0	0	0	0	0	0	0
213490	0	0	0	0	0	0	0	0
213500	0	0	0	0	0	0	0	0
213510	0	0	0	0	0	0	0	0
213520	0	0	0	0	0	0	0	0
213530	0	0	0	0	0	0	0	0
213540	0	0	0	0	0	0	0	0
213550	0	0	0	0	0	0	0	0
213560	0	0	0	0	0	0	0	0
213570	0	0	0	0	0	0	0	0
213580	0	0	0	0	0	0	0	0
213590	0	0	0	0	0	0	0	0
213600	0	0	0	0	0	0	0	0
213610	0	0	0	0	0	0	0	0
213620	0	0	0	0	0	0	0	0
213630	0	0	0	0	0	0	0	0
213640	0	0	0	0	0	0	0	0
213650	0	0	0	0	0	0	0	0
213660	0	0	0	0	0	0	0	0
213670	0	0	0	0	0	0	0	0
213680	0	0	0	0	0	0	0	0
213690	0	0	0	0	0	0	0	0
213700	0	0	0	0	0	0	0	0
213710	0	0	0	0	0	0	0	0
213720	0	0	0	0	0	0	0	0
213730	0	0	0	0	0	0	0	0
213740	0	0	0	0	0	0	0	0
213750	0	0	0	0	0	0	0	0
213760	0	0	0	0	0	0	0	0
213770	0	0	0	0	0	0	0	0
213780	0	0	0	0	0	0	0	0
213790	0	0	0	0	0	0	0	0
213800	0	0	0	0	0	0	0	0
213810	0	0	0	0	0	0	0	0
213820	0	0	0	0	0	0	0	0
213830	0	0	0	0	0	0	0	0
213840	0	0	0	0	0	0	0	0
213850	0	0	0	0	0	0	0	0
213860	0	0	0	0	0	0	0	0
213870	0	0	0	0	0	0	0	0
213880	0	0	0	0	0	0	0	0
213890	0	0	0	0	0	0	0	0
213900	0	0	0	0	0	0	0	0
213910	0	0	0	0	0	0	0	0
213920	0	0	0	0	0	0	0	0
213930	0	0	0	0	0	0	0	0
213940	0	0	0	0	0	0	0	0
213950	0	0	0	0	0	0	0	0
213960	0	0	0	0	0	0	0	0
213970	0	0	0	0	0	0	0	0
213980	0	0	0	0	0	0	0	0
213990	0	0	0	0	0	0	0	0
214000	0	0	0	0	0	0	0	0
214010	0	0	0	0	0	0	0	0
214020	0	0	0	0	0	0	0	0
214030	0	0	0	0	0	0	0	0
214040	0	0	0	0	0	0	0	0
214050	0	0	0	0	0	0	0	0
214060	0	0	0	0	0	0	0	0
214070	0	0	0	0	0	0	0	0
214080	0	0	0	0	0	0	0	0
214090	0	0	0	0	0	0	0	0
214100	0	0	0	0	0	0	0	0
214110	0	0	0	0	0	0	0	0
214120	0	0	0	0	0	0	0	0
214130	0	0	0	0	0	0	0	0
214140	0	0	0	0	0	0	0	0
214150	0	0	0	0	0	0	0	0
214160	0	0	0	0	0	0	0	0
214170	0	0	0	0	0	0	0	0
214180	0	0	0	0	0	0	0	0
214190	0	0	0	0	0	0	0	0
214200	0	0	0	0	0	0	0	0
214210	0	0	0	0	0	0	0	0
214220	0	0	0	0	0	0	0	0
214230	0	0	0	0	0	0	0	0
214240	0	0	0	0	0	0	0	0
214250	0	0	0	0	0	0	0	0
214260	0	0	0	0	0	0	0	0
214270	0	0	0	0	0	0	0	0
214280	0	0	0	0	0	0	0	0
214290	0	0	0	0	0	0	0	0
214300	0	0	0	0	0	0	0	0
214310	0	0	0	0	0	0	0	0
214320	0	0	0	0	0	0	0	0
214330	0	0	0	0	0	0	0	0
214340	0	0	0	0	0	0	0	0
214350	0	0	0	0	0	0	0	0
214360	0	0	0	0	0	0	0	0
214370	0	0	0	0	0	0	0	0
214380	0	0	0	0	0	0	0	0
214390	0	0	0	0	0	0	0	0
214400	0	0	0	0	0	0	0	0
214410	0	0	0	0	0	0	0	0
214420	0	0	0	0	0	0	0	0
214430	0	0	0	0	0	0	0	0
214440	0	0	0	0	0	0	0	0
214450	0	0	0	0	0	0	0	0
214460	0	0	0	0	0	0	0	0
214470	0	0	0	0	0	0	0	0
214480	0	0	0	0	0	0	0	0
214490	0	0	0	0	0	0	0	0
214500	0	0	0	0	0	0	0	0
214510	0	0	0	0	0	0	0	0
214520	0	0	0	0	0	0	0	0
214530	0	0	0	0	0	0	0	0
214540	0	0	0	0	0	0	0	0
214550	0	0	0	0	0	0	0	0
